"","team1","team2","group","p_team1_win","p_team2_win","p_draw"
"1","New Zealand","Norway","A",0.0895522388059702,0.746268656716418,0.164179104477612
"2","New Zealand","Philippines","A",0.68718136125815,0.122734071477454,0.190084567264396
"3","New Zealand","Switzerland","A",0.269395925804317,0.492252475954692,0.238351598240991
"4","Norway","Philippines","A",0.894281713495378,0.0194330643506277,0.0862852221539943
"5","Norway","Switzerland","A",0.620351629313939,0.168213088985877,0.211435281700184
"6","Philippines","Switzerland","A",0.0466868530385184,0.837969157101612,0.115343989859869
"7","Australia","Republic of Ireland","B",0.738255033557047,0.087248322147651,0.174496644295302
"8","Australia","Nigeria","B",0.874308925043283,0.0263482151113354,0.0993428598453812
"9","Australia","Canada","B",0.253894965150919,0.510469605280025,0.235635429569057
"10","Republic of Ireland","Nigeria","B",0.689902708746547,0.120992690690404,0.189104600563049
"11","Republic of Ireland","Canada","B",0.0728730398695314,0.771891746444376,0.155235213686093
"12","Nigeria","Canada","B",0.0882352941176471,0.735294117647059,0.176470588235294
"13","Spain","Costa Rica","C",0.973693460411225,0.00664175009419577,0.0196647894945796
"14","Spain","Zambia","C",0.984533680190856,0.000529002166894055,0.0149373176422502
"15","Spain","Japan","C",0.525959838889751,0.241006278092438,0.23303388301781
"16","Costa Rica","Zambia","C",0.81985153044328,0.0489830800925209,0.131165389464199
"17","Costa Rica","Japan","C",0.0404282995762668,0.839024103219033,0.1205475972047
"18","Zambia","Japan","C",0.0814503415659485,0.788229111928534,0.130320546505518
"19","England","Haiti","D",0.970780469050365,0.00980392156862745,0.0194156093810073
"20","England","Denmark","D",0.669516750849843,0.134251598146323,0.196231651003834
"21","England","China PR","D",0.686527010075191,0.123154110451653,0.190318879473156
"22","Haiti","Denmark","D",0.0203103428524923,0.891610177940352,0.0880794792071553
"23","Haiti","China PR","D",0.0228534410068728,0.884109203382634,0.0930373556104929
"24","Denmark","China PR","D",0.621903052064632,0.155475763016158,0.22262118491921
"25","USA","Vietnam","E",0.987127123311378,0.00496019101763429,0.00791268567098803
"26","USA","Netherlands","E",0.567230405175021,0.207965572990484,0.224804021834496
"27","USA","Portugal","E",0.859857713743426,0.031840849245492,0.108301437011082
"28","Vietnam","Netherlands","E",0.0362093642821954,0.849028112714751,0.114762523003053
"29","Vietnam","Portugal","E",0.226147593103591,0.544229318382818,0.229623088513591
"30","Netherlands","Portugal","E",0.668825682906224,0.128414531117995,0.202759785975781
"31","France","Jamaica","F",0.947877613873184,0.0145718498849161,0.0375505362418992
"32","France","Brazil","F",0.431117144615784,0.324188049843233,0.244694805540984
"33","France","Panama","F",0.956756612569356,0.00379637831679972,0.0394470091138447
"34","Jamaica","Brazil","F",0.00999758721045628,0.926991737461918,0.063010675327626
"35","Jamaica","Panama","F",0.471399926823596,0.287599756027319,0.241000317149085
"36","Brazil","Panama","F",0.958763424950826,0.0121916830580167,0.0290448919911574
"37","Sweden","South Africa","G",0.887445887445887,0.0238095238095238,0.0887445887445888
"38","Sweden","Italy","G",0.710049565293911,0.108379459669936,0.181570975036152
"39","Sweden","Argentina","G",0.876064310117444,0.0257082478052823,0.0982274420772741
"40","South Africa","Italy","G",0.0238226438668872,0.881336708516625,0.0948406476164882
"41","South Africa","Argentina","G",0.102108781133464,0.720374481198473,0.177516737668063
"42","Italy","Argentina","G",0.657773689052438,0.156853725850966,0.185372585096596
"43","Germany","Morocco","H",0.931094383323683,0.0145917776491025,0.0543138390272148
"44","Germany","Colombia","H",0.870145043310181,0.0278901871803816,0.101964769509438
"45","Germany","Korea Republic","H",0.733834284957604,0.094135585728779,0.172030129313616
"46","Morocco","Colombia","H",0.0253814926507717,0.876967030745333,0.0976514766038951
"47","Morocco","Korea Republic","H",0.0058832546656651,0.945305102250546,0.0488116430837891
"48","Colombia","Korea Republic","H",0.369840779100325,0.335407327253053,0.294751893646622
"49","New Zealand","Norway","Knockout",0.112673920182367,0.887326079817633,0
"50","New Zealand","Philippines","Knockout",0.865257515359259,0.134742484640741,0
"51","New Zealand","Switzerland","Knockout",0.310787108217185,0.689212891782815,0
"52","New Zealand","Australia","Knockout",0.0942022782327213,0.905797721767279,0
"53","New Zealand","Republic of Ireland","Knockout",0.415840044093122,0.584159955906878,0
"54","New Zealand","Nigeria","Knockout",0.6925772842853,0.3074227157147,0
"55","New Zealand","Canada","Knockout",0.0892129357386539,0.910787064261346,0
"56","New Zealand","Spain","Knockout",0.0218834789426725,0.978116521057327,0
"57","New Zealand","Costa Rica","Knockout",0.695309832370162,0.304690167629838,0
"58","New Zealand","Zambia","Knockout",0.935743602391314,0.0642563976086859,0
"59","New Zealand","Japan","Knockout",0.167122555322091,0.832877444677909,0
"60","New Zealand","England","Knockout",0.0669378843112554,0.933062115688745,0
"61","New Zealand","Haiti","Knockout",0.913216706413493,0.0867832935865066,0
"62","New Zealand","Denmark","Knockout",0.175816414339681,0.824183585660318,0
"63","New Zealand","China PR","Knockout",0.311662440667697,0.688337559332303,0
"64","New Zealand","USA","Knockout",0.0400996660686367,0.959900333931363,0
"65","New Zealand","Vietnam","Knockout",0.825535021225764,0.174464978774236,0
"66","New Zealand","Netherlands","Knockout",0.150884486505136,0.849115513494864,0
"67","New Zealand","Portugal","Knockout",0.559652818484091,0.440347181515908,0
"68","New Zealand","France","Knockout",0.0784805487999488,0.921519451200051,0
"69","New Zealand","Jamaica","Knockout",0.889623312787003,0.110376687212997,0
"70","New Zealand","Brazil","Knockout",0.107349141441905,0.892650858558095,0
"71","New Zealand","Panama","Knockout",0.9328541661983,0.0671458338016998,0
"72","New Zealand","Sweden","Knockout",0.0995708785248932,0.900429121475107,0
