"","USA","England","Spain","Germany","Australia","France","Sweden","Netherlands","Brazil","Japan","Canada","Norway","Denmark","South Korea","Portugal","China","Italy","Switzerland","Ireland","Colombia","Argentina","New Zealand","Zambia","Haiti","Nigeria","South Africa","Morocco","Costa Rica","Jamaica","Panama","Vietnam","Philippines"
"USA",0.5,0.631987978544682,0.348773365504958,0.667875449675513,0.713427610830207,0.670906610036264,0.725808559924074,0.809656657670949,0.742184270325232,0.827684130683916,0.701023905660059,0.752454644649607,0.836239286339804,0.915213371376198,0.96817666078399,0.915529697436395,0.919749075572249,0.915213371376198,0.944568871888326,0.955259441716209,0.981696982876544,0.959900333931363,0.997139578225512,0.996045822032451,0.981794487292613,0.996033139498824,0.998177073637762,0.982023035635597,0.994843670586904,0.99700210784629,0.991248751290405,0.993536649962729
"England",0.368012021455318,0.5,0.237725486693073,0.539377505983423,0.59178153071447,0.542778561262081,0.606519405353633,0.71239120589546,0.626351847349804,0.736634218357108,0.577232708261317,0.638992073524406,0.748335344986714,0.862743337054117,0.94656935802312,0.863226165892018,0.869686287333324,0.862743337054117,0.90844816532322,0.925556020308147,0.968975496754667,0.933062115688745,0.995097848600692,0.993228685901558,0.969138640999067,0.993207029376782,0.996873572016171,0.969521136045792,0.991177653167954,0.994862759295162,0.985065208439529,0.98895169447974
"Spain",0.651226634495042,0.762274513306927,0.5,0.78968488610607,0.822959022151397,0.791950649027377,0.831723994248827,0.888173263029207,0.843141125112862,0.899685746706812,0.814060563676418,0.850201495664336,0.905076132271422,0.952729957877373,0.98270089447149,0.952913516438952,0.955356591447013,0.952729957877373,0.96952863658764,0.975530116635826,0.99011352707397,0.978116521057327,0.998466023982809,0.997878389437544,0.990166643724827,0.997871572075763,0.999022879495176,0.99029112904788,0.99723182780482,0.998392199106572,0.995294021632325,0.996528041972305
"Germany",0.332124550324487,0.460622494016577,0.21031511389393,0.5,0.553172716700215,0.503424127226679,0.568287620468101,0.679001986531326,0.588740425132291,0.704893558650251,0.538321379007263,0.601844206583446,0.717464010340549,0.842961161095764,0.938000430111774,0.843500954810494,0.850731637685256,0.842961161095764,0.894447300297983,0.913923535266976,0.963862763927352,0.922504315285365,0.994264509582087,0.992080128328335,0.96405179635489,0.992054827785349,0.996340986336426,0.964495027912304,0.989684810321798,0.993989697754372,0.982556272010899,0.987087100784908
"Australia",0.286572389169793,0.40821846928553,0.177040977848603,0.446827283299785,0.5,0.450215153188961,0.515337670442964,0.630809459023706,0.536251937577845,0.658633949003858,0.485026620167812,0.549749122163829,0.672258708297485,0.812590248358216,0.92436059060341,0.813211304357751,0.82154537510552,0.812590248358216,0.872527941218051,0.895576484382432,0.955643554809377,0.905797721767279,0.992909135342172,0.990213635999047,0.955873613274159,0.990182431831284,0.995474078060351,0.956413120641613,0.987261057169199,0.992569867058679,0.978493928883721,0.984062794750615
"France",0.329093389963736,0.457221438737919,0.208049350972623,0.496575872773321,0.549784846811039,0.5,0.56492421699155,0.676009381911602,0.585420120426245,0.702036411549364,0.534915577888837,0.598557558288536,0.71467930494158,0.841139492490794,0.937199093822404,0.841684371877386,0.848983959252851,0.841139492490794,0.893147170696464,0.912839924473965,0.963382645886104,0.921519451200051,0.994185871589318,0.991971782614036,0.963574094879044,0.991946138763484,0.996290712226901,0.964022996561973,0.989544041453112,0.993907314968649,0.982319959590547,0.986911350442748
"Sweden",0.274191440075926,0.393480594646367,0.168276005751173,0.431712379531899,0.484662329557036,0.43507578300845,0.5,0.616405975577261,0.520960885844632,0.644704587148036,0.469716768720599,0.534516801921123,0.658597122248253,0.803064637845768,0.919956406051475,0.803709635373928,0.812369833101287,0.803064637845768,0.865544738444885,0.889696309646403,0.952968176118084,0.900429121475107,0.992463721234151,0.989600676921522,0.953211431284761,0.989567538903208,0.995189000680364,0.953781913789746,0.986465693943219,0.992103311234108,0.977163846320529,0.983071170228417
"Netherlands",0.190343342329051,0.28760879410454,0.111826736970793,0.320998013468674,0.369190540976295,0.323990618088398,0.383594024422739,0.5,0.403614195469366,0.530343063940114,0.355350438222242,0.416773218156059,0.545555247295,0.717326504969994,0.877335215247953,0.718153756720046,0.72931734552353,0.717326504969994,0.8002418349994,0.83387205901398,0.92652092787048,0.849115513494864,0.987944921183473,0.983393901681867,0.926890477775153,0.983341318372523,0.992291603391855,0.927757563301237,0.978428608723463,0.987371156953746,0.963805709448028,0.973073335633591
"Brazil",0.257815729674767,0.373648152650196,0.156858874887138,0.411259574867709,0.463748062422156,0.414579879573755,0.479039114155368,0.596385804530634,0.5,0.625263465982583,0.448885664903072,0.513595260910831,0.639491097610987,0.789458906612895,0.913557128545753,0.790136820208168,0.799246264883524,0.789458906612895,0.855478767103262,0.881190250874945,0.949061970994839,0.892650858558095,0.991809606521002,0.988700892127187,0.949324355249401,0.988664919736479,0.994770181360694,0.949939742973025,0.985298689388377,0.991418185066931,0.975214935558555,0.981616925062876
"Japan",0.172315869316084,0.263365781642892,0.100314253293188,0.295106441349749,0.341366050996142,0.297963588450636,0.355295412851964,0.469656936059886,0.374736534017417,0.5,0.328026615312426,0.387565898550223,0.515296761337686,0.692049201193637,0.863646440538238,0.692918759731506,0.704670836575458,0.692049201193637,0.78010612647783,0.816348316182987,0.917806806091866,0.832877444677909,0.986408410769097,0.981288315993354,0.918216313602846,0.981229192599281,0.991304233909063,0.919177304917928,0.975708995446202,0.985762569871347,0.959319166008724,0.969699465199346
"Canada",0.298976094339941,0.422767291738683,0.185939436323582,0.461678620992737,0.514973379832188,0.465084422111163,0.530283231279401,0.644649561777758,0.551114335096928,0.671973384687574,0.5,0.564530224511911,0.68532010717537,0.821543646218847,0.928444434222869,0.822141525865589,0.830160366751317,0.821543646218847,0.879044085826137,0.901048046286369,0.958114934085234,0.910787064261346,0.993318728673737,0.990777484657119,0.9583327334136,0.990748061542743,0.99573614750586,0.958843469110692,0.987992958092555,0.992998919539587,0.979719187452773,0.984975651683112
"Norway",0.247545355350393,0.361007926475594,0.149798504335664,0.398155793416554,0.450250877836171,0.401442441711464,0.465483198078877,0.583226781843941,0.486404739089169,0.612434101449777,0.435469775488089,0.5,0.626858140879789,0.780275483795186,0.909163826352122,0.780974763117359,0.790376393155853,0.780275483795186,0.84862284113435,0.875376363169305,0.946367201877141,0.887326079817633,0.991355712956898,0.988076791530148,0.946642686619176,0.988038856259754,0.994479443103002,0.947288831426595,0.984489617822098,0.990942797876769,0.973865634571771,0.98060921899395
"Denmark",0.163760713660196,0.251664655013286,0.0949238677285781,0.282535989659451,0.327741291702515,0.28532069505842,0.341402877751747,0.454444752704999,0.360508902389013,0.484703238662314,0.31467989282463,0.373141859120211,0.5,0.678854141129324,0.856277003293419,0.679743716391193,0.691775721676455,0.678854141129324,0.769427039131679,0.806993856491027,0.913069914400129,0.824183585660318,0.985562921379578,0.980130737501756,0.91350079808378,0.980068030795043,0.990760445340527,0.9145120398895,0.974215327715634,0.984877520708375,0.956862235759052,0.967848444756202
"South Korea",0.084786628623802,0.137256662945883,0.047270042122627,0.157038838904236,0.187409751641784,0.158860507509206,0.196935362154232,0.282673495030006,0.210541093387105,0.307950798806363,0.178456353781153,0.219724516204815,0.321145858870676,0.5,0.738115206545348,0.501020847738685,0.514976325310269,0.5,0.612199672948788,0.66420347711628,0.832464790361208,0.689212891782815,0.96996516515244,0.958908767015846,0.833222229865604,0.958781901081454,0.980667923938772,0.835002473380205,0.947016765108474,0.968562880928113,0.912993801768408,0.934386200049065
"Portugal",0.0318233392160098,0.0534306419768801,0.0172991055285101,0.0619995698882258,0.0756394093965898,0.0628009061775966,0.0800435939485254,0.122664784752047,0.0864428714542474,0.136353559461762,0.0715555657771309,0.0908361736478777,0.143722996706581,0.261884793454652,0.5,0.262674885836253,0.273632125186712,0.261884793454652,0.359018350616234,0.412385609490923,0.638071151787442,0.440347181515908,0.91973168773827,0.89223781680359,0.639326681632928,0.891928308466685,0.947363495355703,0.642288083649025,0.863791665192277,0.916186729630176,0.788274290547891,0.834782520497955
"China",0.0844703025636053,0.136773834107982,0.047086483561048,0.156499045189506,0.186788695642249,0.158315628122614,0.196290364626072,0.281846243279954,0.209863179791832,0.307081240268494,0.177858474134411,0.219025236882641,0.320256283608807,0.498979152261315,0.737325114163747,0.5,0.513956331059723,0.498979152261315,0.611229785706993,0.66329211788457,0.831894517215098,0.688337559332303,0.969845976040925,0.95874756813801,0.832654016676397,0.958620225991578,0.980590357352329,0.83443912032169,0.94681150216057,0.968438308116597,0.912668885091333,0.93413540810021
"Italy",0.0802509244277509,0.130313712666676,0.0446434085529867,0.149268362314744,0.17845462489448,0.151016040747149,0.187630166898713,0.27068265447647,0.200753735116476,0.295329163424542,0.169839633248683,0.209623606844147,0.308224278323545,0.485023674689731,0.726367874813288,0.486043668940277,0.5,0.485023674689731,0.597881242235702,0.650709631018408,0.823940188529197,0.676234155116349,0.968169402542846,0.956481608616979,0.824728053897191,0.956347590156768,0.97949854675932,0.826580095932619,0.943928249663634,0.966686156260849,0.90811443912857,0.930615363297408
"Switzerland",0.084786628623802,0.137256662945883,0.047270042122627,0.157038838904236,0.187409751641784,0.158860507509206,0.196935362154232,0.282673495030006,0.210541093387105,0.307950798806363,0.178456353781153,0.219724516204815,0.321145858870676,0.5,0.738115206545348,0.501020847738685,0.514976325310269,0.5,0.612199672948788,0.66420347711628,0.832464790361208,0.689212891782815,0.96996516515244,0.958908767015846,0.833222229865604,0.958781901081454,0.980667923938772,0.835002473380205,0.947016765108474,0.968562880928113,0.912993801768408,0.934386200049065
"Ireland",0.0554311281116737,0.0915518346767797,0.0304713634123601,0.105552699702017,0.127472058781949,0.106852829303536,0.134455261555115,0.1997581650006,0.144521232896738,0.21989387352217,0.120955914173863,0.15137715886565,0.230572960868321,0.387800327051212,0.640981649383766,0.388770214293007,0.402118757764298,0.387800327051212,0.5,0.556141082245858,0.758894740241096,0.584159955906878,0.953395573894376,0.936638040704317,0.759888857861907,0.936446972769051,0.969819100429745,0.762228508373826,0.918846253448501,0.951258553248322,0.869231604779964,0.900207826636386
"Colombia",0.0447405582837912,0.0744439796918535,0.0244698833641742,0.0860764647330243,0.104423515617568,0.087160075526035,0.110303690353597,0.16612794098602,0.118809749125055,0.183651683817013,0.0989519537136307,0.124623636830695,0.193006143508973,0.33579652288372,0.587614390509077,0.33670788211543,0.349290368981592,0.33579652288372,0.443858917754142,0.5,0.715269084764378,0.528558612125294,0.94228654793285,0.921861924359718,0.716375852711222,0.921630027242654,0.962470822416396,0.718982697233111,0.900362431941173,0.939672361935004,0.841397960331809,0.878042315344229
"Argentina",0.0183030171234564,0.0310245032453332,0.00988647292602972,0.0361372360726484,0.0443564451906229,0.0366173541138962,0.0470318238819162,0.0734790721295196,0.0509380290051615,0.0821931939081338,0.0418850659147656,0.0536327981228586,0.0869300855998711,0.167535209638792,0.361928848212558,0.168105482784902,0.176059811470803,0.167535209638792,0.241105259758904,0.284730915235622,0.5,0.308582348093361,0.866655425135652,0.82445161544903,0.501360194030781,0.82398582283356,0.910786067437525,0.504576575246592,0.782474264362541,0.861120366944554,0.678645132668488,0.741332619596349
"New Zealand",0.0400996660686367,0.0669378843112554,0.0218834789426725,0.0774956847146354,0.0942022782327213,0.0784805487999488,0.0995708785248932,0.150884486505136,0.107349141441905,0.167122555322091,0.0892129357386539,0.112673920182367,0.175816414339681,0.310787108217185,0.559652818484091,0.311662440667697,0.323765844883651,0.310787108217185,0.415840044093122,0.471441387874706,0.691417651906639,0.5,0.935743602391314,0.913216706413493,0.6925772842853,0.912961574580235,0.958114441761483,0.695309832370162,0.889623312787003,0.9328541661983,0.825535021225764,0.865257515359259
"Zambia",0.00286042177448842,0.00490215139930855,0.0015339760171906,0.00573549041791298,0.00709086465782794,0.00581412841068186,0.00753627876584923,0.0120550788165273,0.00819039347899777,0.013591589230903,0.00668127132626297,0.00864428704310159,0.0144370786204221,0.0300348348475602,0.0802683122617303,0.0301540239590752,0.0318305974571539,0.0300348348475602,0.0466044261056243,0.0577134520671503,0.133344574864348,0.0642563976086859,0.5,0.419481768700492,0.133974588431651,0.41869907131462,0.611011480198321,0.135474416274234,0.356276760990792,0.488232620071991,0.245241839420301,0.306018767732506
"Haiti",0.00395417796754907,0.00677131409844219,0.0021216105624563,0.00791987167166466,0.00978636400095278,0.00802821738596354,0.0103993230784781,0.0166060983181326,0.0112991078728127,0.0187116840066465,0.00922251534288133,0.0119232084698517,0.0198692624982438,0.041091232984154,0.10776218319641,0.0412524318619897,0.0435183913830215,0.041091232984154,0.0633619592956826,0.0781380756402824,0.17554838455097,0.0867832935865066,0.580518231299508,0.5,0.17633722685053,0.499196256735041,0.684918185140089,0.178213707238823,0.433727269756338,0.569012405245613,0.310185671018746,0.378975883899967
